@relation 'dataset-weka.filters.unsupervised.attribute.AddValues-C10-L6,7-weka.filters.unsupervised.attribute.AddValues-C11-L6,7,8-weka.filters.unsupervised.attribute.AddValues-C12-L6,7,8-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C15-L1-5-V-H'

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7}
@attribute outputs-2 {0,1,2,3,4,5,6,7,8}
@attribute outputs-3 {0,1,2,3,4,5,6,7,8}
@attribute outputs-4 {0,1,2,3,4,5}
@attribute outputs-5 {0,1,2,3,4,5}
@attribute outputs-6 {0,1,2,3,4}

@data
1,'2018/10/08 17:04:25:197',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
2,'2018/10/08 17:04:25:240',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
3,'2018/10/08 17:04:25:261',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
4,'2018/10/08 17:04:25:297',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
5,'2018/10/08 17:04:25:330',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
6,'2018/10/08 17:04:25:362',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
7,'2018/10/08 17:04:25:397',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
8,'2018/10/08 17:04:25:428',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
9,'2018/10/08 17:04:25:462',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
10,'2018/10/08 17:04:25:497',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
11,'2018/10/08 17:04:25:528',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
12,'2018/10/08 17:04:25:564',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
13,'2018/10/08 17:04:25:597',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
14,'2018/10/08 17:04:25:628',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
15,'2018/10/08 17:04:25:664',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
16,'2018/10/08 17:04:25:697',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
17,'2018/10/08 17:04:25:728',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
18,'2018/10/08 17:04:25:762',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
19,'2018/10/08 17:04:25:797',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
20,'2018/10/08 17:04:25:829',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
21,'2018/10/08 17:04:25:862',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
22,'2018/10/08 17:04:25:898',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
23,'2018/10/08 17:04:25:931',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
24,'2018/10/08 17:04:25:963',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
25,'2018/10/08 17:04:25:998',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
26,'2018/10/08 17:04:26:032',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
27,'2018/10/08 17:04:26:064',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
28,'2018/10/08 17:04:26:097',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
29,'2018/10/08 17:04:26:127',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
30,'2018/10/08 17:04:26:164',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
31,'2018/10/08 17:04:26:197',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
32,'2018/10/08 17:04:26:230',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
33,'2018/10/08 17:04:26:263',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
34,'2018/10/08 17:04:26:297',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
35,'2018/10/08 17:04:26:331',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
36,'2018/10/08 17:04:26:362',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
37,'2018/10/08 17:04:26:397',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
38,'2018/10/08 17:04:26:429',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
39,'2018/10/08 17:04:26:462',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
40,'2018/10/08 17:04:26:497',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
41,'2018/10/08 17:04:26:530',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
42,'2018/10/08 17:04:26:561',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
43,'2018/10/08 17:04:26:597',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
44,'2018/10/08 17:04:26:629',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
45,'2018/10/08 17:04:26:663',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
46,'2018/10/08 17:04:26:697',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
47,'2018/10/08 17:04:26:728',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
